"Table 1.1  Selected Income and Tax Items, by Size and Accumulated Size of 
Adjusted Gross Income, Tax Year 2008",,,,,,,,,,,,,,,,,,,,
"(All figures are estimates based on samplesâ€”money amounts are in thousands of dollars except as indicated)",,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income","All returns",,,,,"Taxable returns",,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,"Taxable income",,,"Income tax after credits",,,"Total income tax",,,,
,,,,,,,,,,"Number of
returns","Amount","Percent of
total","Number of
returns","Amount","Percent of
total","Amount","Percent of",,,"Average
total income 
tax (dollars)"
,,,"Amount","Percent
of total","Average
(dollars)",,,"Amount","Percent
of total",,,,,,,,"Total","Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
"Size of Adjusted Gross Income",,,,,,,,,,,,,,,,,,,,
"All returns","142,450,569",100.0,"8,262,860,170",100.0,"58,005","90,660,104",100.0,"7,583,461,595",100.0,"90,625,862","5,487,574,374",100.0,"90,659,909","1,031,580,708",100.0,"1,031,580,923",100.0,18.8,13.6,"11,379"
"No adjusted gross income","2,489,989",1.7,"-163,765,199","[1]","-65,769","3,495","[2]","-3,102,299","[1]",0,0,"[1]","3,495","69,278","[2]","69,278","[2]","[1]","[1]","19,822"
"$1 under $5,000","11,638,707",8.2,"30,564,125",0.4,"2,626","502,422",0.6,"1,519,825","[2]","501,405","686,306","[2]","502,422","76,716","[2]","76,716","[2]",11.2,5.0,153
"$5,000 under $10,000","12,139,638",8.5,"90,849,360",1.1,"7,484","2,611,769",2.9,"19,825,286",0.3,"2,609,008","5,092,789",0.1,"2,611,769","521,105",0.1,"521,105",0.1,10.2,2.6,200
"$10,000 under $15,000","11,702,056",8.2,"146,376,637",1.8,"12,509","4,235,223",4.7,"53,352,646",0.7,"4,233,231","17,264,231",0.3,"4,235,223","1,559,617",0.2,"1,559,617",0.2,9.0,2.9,368
"$15,000 under $20,000","11,076,002",7.8,"193,479,026",2.3,"17,468","5,294,453",5.8,"92,896,530",1.2,"5,293,742","41,733,014",0.8,"5,294,453","3,518,545",0.3,"3,518,545",0.3,8.4,3.8,665
"$20,000 under $25,000","9,866,247",6.9,"221,639,954",2.7,"22,464","5,430,781",6.0,"122,212,038",1.6,"5,430,153","60,870,152",1.1,"5,430,781","6,331,242",0.6,"6,331,242",0.6,10.4,5.2,"1,166"
"$25,000 under $30,000","8,743,581",6.1,"239,916,395",2.9,"27,439","5,326,630",5.9,"146,414,437",1.9,"5,326,579","82,204,091",1.5,"5,326,630","9,108,355",0.9,"9,108,355",0.9,11.1,6.2,"1,710"
"$30,000 under $40,000","14,554,280",10.2,"506,106,712",6.1,"34,774","10,755,171",11.9,"375,834,514",5.0,"10,754,964","227,787,612",4.2,"10,754,976","25,551,828",2.5,"25,551,837",2.5,11.2,6.8,"2,376"
"$40,000 under $50,000","11,087,123",7.8,"496,890,528",6.0,"44,817","9,308,560",10.3,"417,822,067",5.5,"9,307,802","264,942,911",4.8,"9,308,560","31,401,659",3.0,"31,401,659",3.0,11.9,7.5,"3,373"
"$50,000 under $75,000","19,196,461",13.5,"1,180,014,004",14.3,"61,470","17,662,044",19.5,"1,089,446,608",14.4,"17,658,200","716,909,668",13.1,"17,662,044","92,652,392",9.0,"92,652,392",9.0,12.9,8.5,"5,246"
"$75,000 under $100,000","11,729,485",8.2,"1,013,677,410",12.3,"86,421","11,434,868",12.6,"988,767,974",13.0,"11,430,581","679,759,369",12.4,"11,434,868","91,901,542",8.9,"91,901,542",8.9,13.5,9.3,"8,037"
"$100,000 under $200,000","13,851,341",9.7,"1,845,103,256",22.3,"133,208","13,741,286",15.2,"1,831,327,323",24.1,"13,734,316","1,336,605,253",24.4,"13,741,286","232,270,420",22.5,"232,270,420",22.5,17.4,12.7,"16,903"
"$200,000 under $500,000","3,476,747",2.4,"993,426,581",12.0,"285,735","3,459,900",3.8,"988,578,765",13.0,"3,455,422","788,028,471",14.4,"3,459,899","193,699,168",18.8,"193,699,168",18.8,24.6,19.6,"55,984"
"$500,000 under $1,000,000","577,618",0.4,"392,535,075",4.8,"679,576","574,263",0.6,"390,235,760",5.1,"572,558","331,434,695",6.0,"574,263","93,899,298",9.1,"93,899,363",9.1,28.3,24.1,"163,513"
"$1,000,000 under $1,500,000","140,635",0.1,"169,852,110",2.1,"1,207,751","139,843",0.2,"168,896,361",2.2,"139,233","146,295,398",2.7,"139,843","41,880,236",4.1,"41,880,236",4.1,28.6,24.8,"299,480"
"$1,500,000 under $2,000,000","59,460","[2]","102,397,558",1.2,"1,722,125","59,052",0.1,"101,701,184",1.3,"58,833","88,673,463",1.6,"59,052","25,385,118",2.5,"25,385,118",2.5,28.6,25.0,"429,877"
"$2,000,000 under $5,000,000","86,329",0.1,"257,484,393",3.1,"2,982,594","85,735",0.1,"255,733,598",3.4,"85,348","224,589,748",4.1,"85,735","63,390,377",6.1,"63,390,518",6.1,28.2,24.8,"739,377"
"$5,000,000 under $10,000,000","21,390","[2]","146,343,478",1.8,"6,841,677","21,236","[2]","145,302,002",1.9,"21,151","128,576,176",2.3,"21,236","34,805,598",3.4,"34,805,598",3.4,27.1,24.0,"1,638,990"
"$10,000,000 or more","13,480","[2]","399,968,770",4.8,"29,671,274","13,374","[2]","396,696,975",5.2,"13,338","346,121,028",6.3,"13,374","83,558,216",8.1,"83,558,216",8.1,24.1,21.1,"6,247,810"
"Accumulated from Smallest Size of Adjusted Gross Income",,,,,,,,,,,,,,,,,,,,
"No adjusted gross income","2,489,989",1.7,"-163,765,199","[1]","-65,769","3,495","[2]","-3,102,299","[1]",0,0,"[1]","3,495","69,278","[2]","69,278","[2]","[1]","[1]","19,822"
"$1 under $5,000","11,638,707",8.2,"30,564,125",0.4,"2,626","502,422",0.6,"1,519,825","[2]","501,405","686,306","[2]","502,422","76,716","[2]","76,716","[2]",11.2,5.0,153
"$1 under $10,000","23,778,344",16.7,"121,413,484",1.5,"5,106","3,114,191",3.4,"21,345,112",0.3,"3,110,413","5,779,094",0.1,"3,114,191","597,821",0.1,"597,821",0.1,10.3,2.8,192
"$1 under $15,000","35,480,401",24.9,"267,790,121",3.2,"7,548","7,349,414",8.1,"74,697,758",1.0,"7,343,644","23,043,325",0.4,"7,349,414","2,157,438",0.2,"2,157,438",0.2,9.4,2.9,294
"$1 under $20,000","46,556,403",32.7,"461,269,146",5.6,"9,908","12,643,867",13.9,"167,594,288",2.2,"12,637,385","64,776,339",1.2,"12,643,867","5,675,982",0.6,"5,675,982",0.6,8.8,3.4,449
"$1 under $25,000","56,422,650",39.6,"682,909,100",8.3,"12,103","18,074,648",19.9,"289,806,326",3.8,"18,067,539","125,646,492",2.3,"18,074,648","12,007,224",1.2,"12,007,224",1.2,9.6,4.1,664
"$1 under $30,000","65,166,231",45.7,"922,825,495",11.2,"14,161","23,401,278",25.8,"436,220,763",5.8,"23,394,118","207,850,582",3.8,"23,401,278","21,115,579",2.0,"21,115,579",2.0,10.2,4.8,902
"$1 under $40,000","79,720,511",56.0,"1,428,932,207",17.3,"17,924","34,156,449",37.7,"812,055,277",10.7,"34,149,082","435,638,194",7.9,"34,156,254","46,667,407",4.5,"46,667,416",4.5,10.7,5.7,"1,366"
"$1 under $50,000","90,807,634",63.7,"1,925,822,736",23.3,"21,208","43,465,009",47.9,"1,229,877,344",16.2,"43,456,884","700,581,105",12.8,"43,464,814","78,069,066",7.6,"78,069,075",7.6,11.1,6.3,"1,796"
"$1 under $75,000","110,004,095",77.2,"3,105,836,740",37.6,"28,234","61,127,053",67.4,"2,319,323,951",30.6,"61,115,084","1,417,490,773",25.8,"61,126,858","170,721,458",16.5,"170,721,467",16.5,12.0,7.4,"2,793"
"$1 under $100,000","121,733,580",85.5,"4,119,514,150",49.9,"33,840","72,561,921",80.0,"3,308,091,926",43.6,"72,545,664","2,097,250,142",38.2,"72,561,726","262,623,000",25.5,"262,623,009",25.5,12.5,7.9,"3,619"
"$1 under $200,000","135,584,921",95.2,"5,964,617,406",72.2,"43,992","86,303,207",95.2,"5,139,419,249",67.8,"86,279,980","3,433,855,395",62.6,"86,303,012","494,893,419",48.0,"494,893,428",48.0,14.4,9.6,"5,734"
"$1 under $500,000","139,061,668",97.6,"6,958,043,986",84.2,"50,036","89,763,106",99.0,"6,127,998,014",80.8,"89,735,402","4,221,883,866",76.9,"89,762,911","688,592,587",66.8,"688,592,596",66.8,16.3,11.2,"7,671"
"$1 under $1,000,000","139,639,286",98.0,"7,350,579,062",89.0,"52,640","90,337,370",99.6,"6,518,233,774",86.0,"90,307,960","4,553,318,561",83.0,"90,337,174","782,491,886",75.9,"782,491,959",75.9,17.2,12.0,"8,662"
"$1 under $1,500,000","139,779,920",98.1,"7,520,431,171",91.0,"53,802","90,477,212",99.8,"6,687,130,135",88.2,"90,447,192","4,699,613,959",85.6,"90,477,016","824,372,122",79.9,"824,372,195",79.9,17.5,12.3,"9,111"
"$1 under $2,000,000","139,839,381",98.2,"7,622,828,729",92.3,"54,511","90,536,264",99.9,"6,788,831,319",89.5,"90,506,025","4,788,287,422",87.3,"90,536,068","849,757,239",82.4,"849,757,313",82.4,17.7,12.5,"9,386"
"$1 under $5,000,000","139,925,710",98.2,"7,880,313,122",95.4,"56,318","90,621,999",100.0,"7,044,564,917",92.9,"90,591,373","5,012,877,170",91.3,"90,621,803","913,147,616",88.5,"913,147,831",88.5,18.2,13.0,"10,076"
"$1 under $10,000,000","139,947,100",98.2,"8,026,656,600",97.1,"57,355","90,643,235",100.0,"7,189,866,919",94.8,"90,612,524","5,141,453,346",93.7,"90,643,039","947,953,214",91.9,"947,953,429",91.9,18.4,13.2,"10,458"
"$1 or more","139,960,581",98.3,"8,426,625,369",102.0,"60,207","90,656,609",100.0,"7,586,563,894",100.0,"90,625,862","5,487,574,374",100.0,"90,656,413","1,031,511,430",100.0,"1,031,511,645",100.0,18.8,13.6,"11,378"
"All returns","142,450,569",100.0,"8,262,860,170",100.0,"58,005","90,660,104",100.0,"7,583,461,595",100.0,"90,625,862","5,487,574,374",100.0,"90,659,909","1,031,580,708",100.0,"1,031,580,923",100.0,18.8,13.6,"11,379"
"Accumulated from Largest Size of Adjusted Gross Income",,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","13,480","[2]","399,968,770",4.8,"29,671,274","13,374","[2]","396,696,975",5.2,"13,338","346,121,028",6.3,"13,374","83,558,216",8.1,"83,558,216",8.1,24.1,21.1,"6,247,810"
"$5,000,000 or more","34,871","[2]","546,312,247",6.6,"15,666,664","34,610","[2]","541,998,977",7.1,"34,489","474,697,204",8.7,"34,610","118,363,813",11.5,"118,363,814",11.5,24.9,21.8,"3,419,931"
"$2,000,000 or more","121,200",0.1,"803,796,640",9.7,"6,631,985","120,345",0.1,"797,732,575",10.5,"119,837","699,286,952",12.7,"120,345","181,754,190",17.6,"181,754,332",17.6,26.0,22.8,"1,510,277"
"$1,500,000 or more","180,660",0.1,"906,194,198",11.0,"5,016,020","179,397",0.2,"899,433,759",11.9,"178,670","787,960,415",14.4,"179,397","207,139,308",20.1,"207,139,450",20.1,26.3,23.0,"1,154,643"
"$1,000,000 or more","321,295",0.2,"1,076,046,308",13.0,"3,349,091","319,240",0.4,"1,068,330,120",14.1,"317,902","934,255,813",17.0,"319,240","249,019,544",24.1,"249,019,686",24.1,26.7,23.3,"780,039"
"$500,000 or more","898,912",0.6,"1,468,581,383",17.8,"1,633,732","893,503",1.0,"1,458,565,880",19.2,"890,460","1,265,690,508",23.1,"893,503","342,918,843",33.2,"342,919,049",33.2,27.1,23.5,"383,792"
"$200,000 or more","4,375,660",3.1,"2,462,007,963",29.8,"562,660","4,353,403",4.8,"2,447,144,646",32.3,"4,345,882","2,053,718,979",37.4,"4,353,402","536,618,010",52.0,"536,618,217",52.0,26.1,21.9,"123,264"
"$100,000 or more","18,227,000",12.8,"4,307,111,219",52.1,"236,304","18,094,689",20.0,"4,278,471,968",56.4,"18,080,198","3,390,324,232",61.8,"18,094,688","768,888,430",74.5,"768,888,636",74.5,22.7,18.0,"42,493"
"$75,000 or more","29,956,486",21.0,"5,320,788,630",64.4,"177,617","29,529,556",32.6,"5,267,239,943",69.5,"29,510,778","4,070,083,601",74.2,"29,529,555","860,789,972",83.4,"860,790,178",83.4,21.1,16.3,"29,150"
"$50,000 or more","49,152,946",34.5,"6,500,802,634",78.7,"132,257","47,191,601",52.1,"6,356,686,550",83.8,"47,168,979","4,786,993,269",87.2,"47,191,600","953,442,364",92.4,"953,442,570",92.4,19.9,15.0,"20,204"
"$40,000 or more","60,240,069",42.3,"6,997,693,162",84.7,"116,163","56,500,161",62.3,"6,774,508,617",89.3,"56,476,780","5,051,936,180",92.1,"56,500,160","984,844,023",95.5,"984,844,229",95.5,19.5,14.5,"17,431"
"$30,000 or more","74,794,350",52.5,"7,503,799,874",90.8,"100,326","67,255,331",74.2,"7,150,343,131",94.3,"67,231,744","5,279,723,792",96.2,"67,255,135","1,010,395,851",97.9,"1,010,396,066",97.9,19.1,14.1,"15,023"
"$25,000 or more","83,537,931",58.6,"7,743,716,269",93.7,"92,697","72,581,961",80.1,"7,296,757,568",96.2,"72,558,323","5,361,927,882",97.7,"72,581,765","1,019,504,206",98.8,"1,019,504,421",98.8,19.0,14.0,"14,046"
"$20,000 or more","93,404,178",65.6,"7,965,356,223",96.4,"85,278","78,012,742",86.0,"7,418,969,606",97.8,"77,988,477","5,422,798,035",98.8,"78,012,546","1,025,835,447",99.4,"1,025,835,663",99.4,18.9,13.8,"13,150"
"$15,000 or more","104,480,180",73.3,"8,158,835,249",98.7,"78,090","83,307,195",91.9,"7,511,866,136",99.1,"83,282,219","5,464,531,049",99.6,"83,306,999","1,029,353,992",99.8,"1,029,354,208",99.8,18.8,13.7,"12,356"
"$10,000 or more","116,182,236",81.6,"8,305,211,885",100.5,"71,484","87,542,418",96.6,"7,565,218,782",99.8,"87,515,449","5,481,795,280",99.9,"87,542,222","1,030,913,609",99.9,"1,030,913,824",99.9,18.8,13.6,"11,776"
"$5,000 or more","128,321,874",90.1,"8,396,061,245",101.6,"65,430","90,154,187",99.4,"7,585,044,069",100.0,"90,124,457","5,486,888,068",100.0,"90,153,991","1,031,434,714",100.0,"1,031,434,929",100.0,18.8,13.6,"11,441"
"$1 or more","139,960,581",98.3,"8,426,625,369",102.0,"60,207","90,656,609",100.0,"7,586,563,894",100.0,"90,625,862","5,487,574,374",100.0,"90,656,413","1,031,511,430",100.0,"1,031,511,645",100.0,18.8,13.6,"11,378"
"All returns","142,450,569",100.0,"8,262,860,170",100.0,"58,005","90,660,104",100.0,"7,583,461,595",100.0,"90,625,862","5,487,574,374",100.0,"90,659,909","1,031,580,708",100.0,"1,031,580,923",100.0,18.8,13.6,"11,379"
"   [1] Percentage not computed.",,,,,,,,,,,,,,,,,,,,
"   [2] Less than 0.05 percent.",,,,,,,,,,,,,,,,,,,,
"    NOTE: Detail may not add to totals because of rounding.",,,,,,,,,,,,,,,,,,,,
"    Source: IRS, Statistics of Income Division, July 2010",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,," ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,," ",,,,,,,,,,
,,,,,,,,,," ",,,,,,,,,,
,,,,,,,,,," ",,,,,,,,,,
